,Rank,Team,Index,Wins,Losses,Points
65,1,UW-River Falls,100.0,30,1,90
33,2,Nazareth,60.2815250603361,27,2,81
5,3,Norwich,60.19587902958595,26,3,78
73,4,Amherst,54.42102582050865,21,3,63
52,5,Augsburg,51.66089401786764,21,5,63
11,6,Wilkes,48.906707306262895,25,2,75
70,7,Middlebury,43.62419583480644,17,5,51
16,8,Hamline,42.88586621596945,21,6,63
72,9,Williams,42.56741136769943,18,5,54
62,10,Endicott,41.18305296854005,21,5,63
78,11,Colby,40.00744200126945,18,7,54
4,12,Plattsburgh St.,36.324276465127866,20,7,60
53,13,Adrian,32.44768909729904,24,6,72
14,14,Elmira,29.855209809365785,20,6,60
42,15,Concordia Wisconsin,29.23837773713187,24,3,72
27,16,Wis.-Eau Claire,29.214200239838963,20,8,60
55,17,Gustavus Adolphus,24.518631342073753,15,11,45
9,18,Western New Eng.,23.9800655830582,18,8,54
71,19,Hamilton,22.578522059757233,11,9,33
64,20,Saint Benedict,22.314884514965772,16,8,48
10,21,Cortland,21.967132769581433,16,8,48
50,22,Bethel (MN),16.89768006570422,14,10,42
34,23,Oswego St.,14.52932097441449,14,10,42
44,24,Arcadia,14.235313701257622,18,7,54
7,25,Lebanon Valley,13.536124974681137,19,7,57
54,26,St. Norbert,13.420421007739757,18,9,54
75,27,Bowdoin,13.245353830798425,11,13,33
57,28,St. Scholastica,12.831730477180136,11,12,33
61,29,UMass Boston,12.318086752176317,16,9,48
43,30,Saint Mary's (MN),11.957078841695253,9,14,27
76,31,Trinity (CT),11.2304210441155,7,15,21
38,32,St. Olaf,10.529594513716251,10,14,30
74,33,Wesleyan (CT),10.359726681009084,7,16,21
77,34,Connecticut Col.,10.220219589700788,8,14,24
59,35,JWU (Providence),9.888815956582357,14,12,42
15,36,Salve Regina,9.797414276531564,14,11,42
69,37,William Smith,8.2907996934996,12,15,36
13,38,SUNY Canton,8.277908656982572,13,9,39
60,39,Albertus Magnus,7.381006447730874,16,10,48
23,40,U New England,7.084799365957942,11,15,33
36,41,SUNY Potsdam,6.9047979609538075,11,13,33
26,42,Concordia-M'head,6.850002592544255,8,17,24
8,43,Worcester St.,6.799281230859837,17,9,51
22,44,Southern Me.,6.040184316631888,11,15,33
35,45,VTSU Castleton,5.806316509908639,12,15,36
46,46,St. Catherine,5.649722852308181,9,16,27
40,47,Curry,5.6391070589946235,10,14,30
0,48,Buffalo St.,5.483929652517604,12,11,36
66,49,Hood,5.253522891724589,14,9,42
37,50,Alvernia,5.166641097748195,12,12,36
63,51,Utica,5.153719299872159,10,16,30
39,52,Wis.-Stevens Point,5.149119794223245,11,16,33
2,53,Plymouth St.,4.847612434633461,12,14,36
19,54,St. John Fisher,4.805543993647862,12,13,36
32,55,Rivier,4.782486933287225,16,10,48
67,56,Suffolk,4.243016752937042,6,18,18
20,57,Marian (WI),4.037721517567719,14,13,42
49,58,Lake Forest,3.8251315158859476,12,16,36
31,59,Keene St.,3.32774277698239,10,16,30
51,60,MSOE,3.12716942935733,11,14,33
17,61,Aurora,2.91780948178239,10,16,30
24,62,Nichols,2.91610986234151,7,18,21
3,63,Salem St.,1.8426182242106228,8,14,24
45,64,SUNY Morrisville,1.778707846415147,3,22,9
48,65,Wis.-Superior,1.7266533564579976,4,22,12
41,66,Manhattanville,1.593391139539191,5,20,15
28,67,New England Col.,1.5423768045310864,6,19,18
68,68,Trine,1.3567517645567224,7,18,21
58,69,Anna Maria,1.1624268351996359,6,16,18
18,70,Neumann,0.9546537206420052,7,18,21
6,71,Chatham,0.8830456342332118,3,19,9
12,72,Stevenson,0.6819447535077338,4,20,12
47,73,Dubuque,0.6191835070713814,4,21,12
25,74,Framingham St.,0.433766517460184,3,21,9
21,75,Beloit,0.40964451613429226,2,23,6
56,76,Lawrence,0.33302240157523366,2,23,6
29,77,MCLA,0.2065621552117919,1,11,3
1,78,King's (PA),0.2013702109876287,1,24,3
30,79,Hilbert,0.16502695704604994,1,23,3
