,Rank,Team,Index,Wins,Losses,Ties,Points
98,97,Marin FC Legends,17.13451204347744,4,8,2,14
59,98,Christos FC,16.719802239548617,5,7,2,17
55,99,Brooke House FC,16.162818053279594,3,6,3,12
4,100,Monterey Bay FC Usl 2,16.11233477650917,2,9,3,9
71,101,Charlotte Eagles,15.855282305586973,2,7,2,8
90,102,Ironbound SC,15.430262436739307,2,6,4,10
26,103,Kings Hammer Sun City,15.32062724894665,4,6,2,14
34,104,Davis Legacy,15.28260276153377,3,9,2,11
22,105,Tacoma Stars,15.13986270591773,1,9,4,7
112,106,New Jersey Copa FC,14.991510088771927,3,7,2,11
128,107,Delaware FC,14.698905936284387,2,6,4,10
67,108,Tobacco Road FC,14.399110351175121,2,6,4,10
134,109,Kings Hammer,13.809560927012322,2,7,3,9
43,110,FC Lehigh Valley United,13.742106279896172,2,7,3,9
122,111,Global Football Innovation Academy,13.462559390832302,3,7,2,11
47,112,Westchester Flames,12.898663484327356,1,7,4,7
49,113,Sunflower State FC,12.349157992756574,4,6,2,14
114,114,Staten Island Asc,12.169303748874535,3,8,1,10
37,115,Cleveland Force SC,12.087872405215387,2,8,1,7
121,116,St. Croix SC,11.579359843462957,2,9,1,7
82,117,Hill Country Lobos,11.36131162791222,3,7,2,11
1,118,Southern California Seahorses,11.358112273344886,2,8,2,8
28,119,Weston FC,11.348375397698073,2,8,2,8
79,120,Santafe Wanderers FC,11.295709730581422,4,7,1,13
30,121,Brevard Fire SC,10.745066923784407,2,8,2,8
62,122,Dayton Dutch Lions,10.423259733264041,2,8,2,8
16,123,Montgomery United FC,9.578496758697483,2,7,3,9
139,124,East Atlanta FC,9.194705250662604,3,9,0,9
50,125,Springfield FC,9.029804174514734,4,8,0,12
118,126,McKinney Chupacabras FC,8.551133924167791,3,8,1,10
14,127,Saint Louis Ambush,8.009107655719502,3,8,1,10
99,128,Blackwatch Rush,7.527219415110893,2,11,1,7
119,129,Red River FC,7.140397536038145,1,8,3,6
120,130,Mississippi Brilla,6.737381187288701,0,8,4,4
24,131,Stars FC,6.441746683460603,1,8,3,6
36,132,Erie Sports Center,6.164000936637434,2,9,0,6
31,133,Apotheos FC,5.761285402596469,1,9,2,5
66,134,Wake FC,5.195813313255125,0,10,1,1
38,135,Boston City FC,5.021814044812196,0,12,2,2
74,136,AC Houston Sur,4.7175359242177946,0,9,2,2
96,137,Virginia Marauders FC,4.532801745364338,1,11,2,5
27,138,Miami AC,4.198456621950733,0,12,0,0
129,139,Colorado International Soccer Academy,4.0426408974150245,0,11,1,1
80,140,Patuxent Football Athletics,3.3503443139526548,0,12,2,2
9,141,Lansing City Football,3.1132295261444285,0,12,0,0
0,142,Coachella FC,2.582515601459962,0,11,1,1
57,143,Chicago Dutch Lions FC,1.6458182674570379,0,12,0,0
