,Rank,Team,Index,Wins,Losses,Ties,Points
90,108,Binghamton,25.86652666640725,8,7,4,28
43,109,Marquette,25.497777629439156,5,7,4,19
31,110,FDU,25.38144284236357,10,4,5,35
9,111,LIU,25.37671055062031,8,5,7,31
50,112,Northeastern,25.29413022378101,4,5,7,19
67,113,UAB,25.181031234135943,4,6,5,17
150,114,LMU (CA),24.608856349369056,6,8,3,21
143,115,ETSU,24.440276696277184,5,7,5,20
175,116,UNC Asheville,24.421533035123446,7,4,4,25
37,117,Temple,23.945442232201188,5,7,5,20
194,118,Central Ark.,23.78455621975937,7,7,3,24
45,119,Xavier,23.778208233193034,4,8,5,17
122,120,Utah Valley,23.536248405091197,8,6,4,28
35,121,UMass Lowell,23.477697082329215,6,5,5,23
186,122,UC Riverside,23.164664363257057,5,6,5,20
101,123,Georgia St.,22.79191189385317,4,8,5,17
195,124,Mercyhurst,22.557032946392912,8,7,2,26
103,125,Rhode Island,22.408602882526903,7,7,3,24
28,126,Lindenwood,22.33542002962827,10,6,3,33
200,127,William & Mary,22.334719657763582,5,10,1,16
117,128,Bradley,22.313384502920478,4,8,4,16
97,129,American,21.630360622531978,5,5,9,24
100,130,Belmont,21.601848957975594,4,8,4,16
76,131,Purdue Fort Wayne,21.423707528411036,6,7,2,20
72,132,Loyola Chicago,21.374775963188625,4,9,2,14
163,133,Pacific,21.323515927468648,4,8,4,16
113,134,NJIT,21.152999503958906,6,8,4,22
174,135,Stetson,20.922160518878357,4,5,6,18
21,136,Siena,20.85168758120984,7,5,6,27
34,137,Lafayette,20.756037095211543,8,6,4,28
44,138,Northern Ky.,20.74912937064462,3,6,7,16
84,139,North Florida,20.314213101033637,7,8,4,25
10,140,Bucknell,20.287610851708177,7,7,6,27
178,141,Wright St.,20.277233514501017,7,9,2,23
173,142,UNLV,20.15565021105315,5,7,5,20
27,143,St. Bonaventure,19.694971793127138,6,8,3,21
123,144,Sacramento St.,19.530095429425376,6,10,2,20
81,145,Colgate,19.46621507481582,8,9,3,27
96,146,California Baptist,19.366658644174045,6,8,5,23
26,147,Saint Francis,19.23147912293912,7,7,2,23
5,148,Boston U.,19.18798447484977,4,4,10,22
156,149,Santa Clara,18.933333164124413,5,8,3,18
57,150,Coastal Carolina,18.879333779606473,3,10,3,12
121,151,Houston Christian,18.476869735520363,7,7,5,26
208,152,Harvard,18.41320057460999,4,7,4,16
140,153,IU Indy,18.305011470648818,5,9,3,18
206,154,Dartmouth,17.967054459394497,5,8,3,18
172,155,Tulsa,17.951117909853306,3,9,3,12
74,156,La Salle,17.739300038660602,5,8,4,19
164,157,San Jose St.,17.727545595168298,6,8,7,25
13,158,Le Moyne,17.445997214539542,7,6,4,25
93,159,Butler,17.07333296194577,4,10,3,15
155,160,CSUN,16.717872858011475,2,8,7,13
78,161,Detroit Mercy,16.632191172969275,3,9,4,13
71,162,Bellarmine,16.37460822150142,5,6,5,20
15,163,St. Thomas (MN),16.32529013867988,3,10,2,11
