,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
218,376,Penn St.-Altoona,1.9331555625003654,3,10,0,9,True
363,377,MUW,1.9320922786046906,3,11,1,10,True
44,378,Centenary (NJ),1.898602845292176,3,11,3,12,True
120,379,Lawrence,1.8466276979699332,0,11,4,4,True
434,380,Earlham,1.7731752224117179,2,10,3,9,True
452,381,Me.-Presque Isle,1.768399843255936,3,9,1,10,True
399,382,Concordia-M'head,1.7556039953395413,0,12,3,3,True
3,383,Regent,1.6784773609603898,2,14,1,7,True
82,384,Mitchell,1.644326715428039,3,14,1,10,True
107,385,North Central (MN),1.5206561391615954,4,15,1,13,True
326,386,St. Joseph's (Brkln),1.4528205154524554,1,13,1,4,True
201,387,VTSU-Johnson,1.3952185903590009,3,9,1,10,True
268,388,Heidelberg,1.278275696456465,2,14,0,6,True
148,389,Wis.-Stout,1.2216354525553976,1,15,3,6,True
248,390,Penn St.-Berks,1.1995646000272835,4,13,1,13,True
293,391,Franklin,1.1966078941010883,2,13,1,7,True
16,392,Warren Wilson,1.1293383623452864,1,14,0,3,True
128,393,Carlow,1.0842106598533334,2,11,0,6,True
13,394,Lewis & Clark,1.0378964039369272,0,17,3,3,True
419,395,Rockford,0.9644715494303261,1,14,1,4,True
74,396,Mary Baldwin,0.9397594956582666,1,13,1,4,True
288,397,Valley Forge,0.8377195863925089,3,10,2,11,True
224,398,Medgar Evers,0.8102298799061334,1,12,1,4,True
110,399,Concordia Chicago,0.7857302082547737,1,15,1,4,True
71,400,Pratt,0.6584449570137261,0,13,2,2,True
67,401,Keuka,0.6038061426064447,1,15,0,3,True
108,402,Dallas,0.6017909520455229,0,15,1,1,True
403,403,Keystone,0.6013367774064112,2,11,1,7,True
316,404,Penn St. Brandywine,0.5524020848633525,1,12,2,5,True
149,405,Martin Luther,0.3232520140414945,0,15,1,1,True
294,406,Gallaudet,0.2777194257959965,1,11,0,3,True
95,407,VTSU Lyndon,0.2200288168893208,1,14,0,3,True
