,Rank,Team,Index,Wins,Losses,Points
306,118,Central Ark.,16.37084377545756,21,11,63
332,119,UT Arlington,16.36326645558953,17,14,51
47,120,Portland St.,16.234190000752523,19,11,57
288,121,Kennesaw St.,16.186359883986814,19,14,57
212,122,Arkansas St.,15.898648575771341,17,12,51
207,123,Coastal Carolina,15.877750760144556,19,12,57
309,124,Towson,15.77901648601944,17,15,51
316,125,Wyoming,15.621772385843677,17,15,51
297,126,Marshall,15.549525497099587,17,13,51
136,127,CSUN,15.458963590753424,19,14,57
223,128,Duquesne,15.429912782565351,17,15,51
303,129,Fairfield,15.322630151731799,21,12,63
160,130,Washington,15.09548244518039,15,17,45
60,131,App State,14.931418341481233,19,12,57
83,132,Creighton,14.853180735880729,15,17,45
114,133,Quinnipiac,14.838990331636845,19,12,57
376,134,Marist,14.786948210298734,18,11,54
62,135,Butler,14.733605059122347,16,16,48
176,136,Georgetown,14.572963637299889,15,18,45
143,137,South Alabama,14.365856914195621,18,12,54
87,138,Utah Tech,14.355973668909556,18,15,54
241,139,Northern Colo.,14.242512243481563,18,12,54
286,140,Syracuse,14.23090087140741,14,17,42
152,141,North Texas,14.226094357412572,17,14,51
362,142,Seattle U,14.126640307209327,18,14,54
377,143,Lipscomb,14.046379854816488,18,12,54
393,144,Western Ky.,14.018914944609824,16,14,48
299,145,UMBC,13.991695947388287,23,9,69
182,146,Green Bay,13.943258367922082,17,14,51
304,147,Saint Peter's,13.894907497696295,16,11,48
269,148,UIC,13.878322728672895,17,16,51
314,149,Northern Ky.,13.873704386315893,18,14,54
357,150,UTRGV,13.813602155001893,19,12,57
36,151,UC Santa Barbara,13.743378390087242,18,14,54
367,152,Harvard,13.736424460885358,16,12,48
95,153,UC Davis,13.68518528993097,17,14,51
75,154,Mercer,13.685133843543762,17,12,51
383,155,Howard,13.683626669396164,21,10,63
370,156,James Madison,13.609319206611541,17,14,51
197,157,Oakland,13.569485642662753,16,15,48
259,158,Samford,13.495053967596359,18,13,54
214,159,Cornell,13.281097021018997,14,13,42
179,160,Northwestern,13.2008714659199,14,19,42
294,161,Tulane,13.166502736371884,17,15,51
93,162,Montana St.,13.160347197501654,17,13,51
315,163,Monmouth,13.135819007544164,18,15,54
24,164,Valparaiso,13.12995988833352,18,15,54
52,165,Middle Tenn.,13.109848903303828,16,15,48
129,166,Southern Miss.,13.026423033768483,19,15,57
340,167,Fla. Atlantic,12.918595321005855,16,15,48
318,168,Providence,12.895635922475046,14,18,42
282,169,Minnesota,12.892570330035724,14,17,42
189,170,Detroit Mercy,12.86829900955811,17,14,51
79,171,LSU,12.844461848857048,15,17,45
199,172,Morehead St.,12.816639846014683,18,13,54
229,173,Ole Miss,12.762454342834346,14,20,42
364,174,Pacific,12.728607602170039,16,15,48
3,175,Ga. Southern,12.728323130292098,20,16,60
240,176,Southeast Mo. St.,12.712545254656426,19,12,57
168,177,Columbia,12.692085351312043,15,12,45
417,178,Idaho,12.691972770991045,19,15,57
49,179,Louisiana Tech,12.613364880667374,19,14,57
317,180,Cal St. Fullerton,12.57653638509549,17,16,51
295,181,Texas St.,12.535055047269593,18,12,54
320,182,St. Bonaventure,12.361171224710858,15,17,45
122,183,Xavier,12.141443188823947,14,18,42
237,184,DePaul,12.114644744530931,15,16,45
243,185,Southern Ill.,11.884520424823439,15,16,45
177,186,Rhode Island,11.802923836409596,15,16,45
300,187,Wofford,11.770555603873134,17,12,51
109,188,Campbell,11.55589249395316,16,17,48
89,189,Mississippi St.,11.537344635036645,13,19,39
188,190,Notre Dame,11.484096293752625,12,18,36
312,191,San Francisco,11.468311321230756,16,16,48
124,192,Bowling Green,11.366791564605867,16,14,48
341,193,Massachusetts,11.232475662384191,16,15,48
184,194,Purdue Fort Wayne,11.215545004246476,15,14,45
268,195,Oregon St.,11.166298533391709,16,16,48
195,196,Iona,11.165547657218497,18,14,54
330,197,Montana,11.022901261543803,15,15,45
215,198,Charlotte,10.709596713941972,15,17,45
334,199,Stony Brook,10.672630485270082,15,15,45
54,200,Rutgers,10.654860205433577,14,19,42
140,201,A&M-Corpus Christi,10.642177862777338,17,15,51
414,202,New Mexico St.,10.482925573928135,14,16,42
181,203,Buffalo,10.470377487704273,15,15,45
394,204,North Greenville,10.382401882961844,1,1,3
373,205,Vermont,10.221446073763973,20,12,60
290,206,FIU,10.201831474642779,15,16,45
