,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
193,95,Minot St.,23.91141039869236,9,5,5,32,True
150,96,Rollins,23.712619092470792,7,6,4,25,True
213,97,Delta St.,23.26887984572331,7,6,4,25,True
197,98,Seattle Pacific,22.56523380244642,8,5,7,31,True
103,99,Georgia College,22.33191494608505,7,7,4,25,True
149,100,Tusculum,22.076828691020793,8,8,2,26,True
5,101,St. Mary's (TX),21.793361615492486,9,7,3,30,True
133,102,Missouri S&T,21.133323250228404,9,6,4,31,True
72,103,Cal Poly Humboldt,20.919593994907945,8,6,8,32,True
79,104,Southwestern Okla.,20.772487119942934,11,5,3,36,True
280,105,Harding,20.76094164008674,12,7,2,38,True
43,106,Young Harris,19.67613934177831,11,6,3,36,True
11,107,Spring Hill,18.99155899260063,6,5,7,25,True
211,108,Wis.-Parkside,18.975960368695677,10,8,2,32,True
189,109,Tampa,18.90104205177603,5,7,4,19,True
177,110,Angelo St.,18.863094962783098,9,5,5,32,True
68,111,Concord,18.46463437051806,11,6,3,36,True
185,112,Mississippi Col.,18.463230140384493,8,9,3,27,True
209,113,Northern Mich.,18.44238342148477,7,8,5,26,True
160,114,Cal St. East Bay,18.27342762417876,7,9,3,24,True
284,115,Southern N.H.,18.197273807806805,5,8,3,18,True
3,116,Emory & Henry,17.829226758419843,8,7,3,27,True
171,117,Barry,17.163234835389193,5,5,9,24,True
37,118,Mary,17.117860306497807,8,7,4,28,True
244,119,Frostburg St.,17.093614091935795,10,5,4,34,True
168,120,Ferris St.,16.825749378760715,8,5,6,30,True
169,121,Lake Erie,16.70356942793129,10,5,4,34,True
163,122,Newberry,16.48351359869967,5,6,4,19,True
250,123,UC Merced,16.408346367491767,6,8,4,22,True
218,124,Pace,16.371641356959874,8,9,1,25,True
7,125,Westminster (UT),16.19793396574768,7,5,6,27,True
49,126,Bentley,15.878847721800955,6,7,4,22,True
212,127,Winona St.,15.661962752950332,7,6,4,25,True
145,128,Lewis,15.603842613208085,7,6,5,26,True
270,129,Lubbock Christian,15.486829994265658,8,7,3,27,True
233,130,Assumption,14.98127404290484,6,6,3,21,True
120,131,Vanguard ,14.921576802360757,6,7,3,21,True
201,132,Cal St. Monterey Bay,14.822277796080302,6,9,3,21,True
23,133,Rockhurst,14.784749410982858,8,7,4,28,True
135,134,Union (TN),14.697583103398875,4,7,4,16,True
183,135,Ouachita Baptist,14.234503691509067,8,7,5,29,True
124,136,Valdosta St.,14.230954260168911,6,8,4,22,True
56,137,Charleston (WV),14.154866553857063,10,8,3,33,True
257,138,East Stroudsburg,13.319438852569332,5,9,3,18,True
83,139,Biola,13.220033405862273,3,5,9,18,True
129,140,Lees-McRae,13.204389304641685,8,9,2,26,True
100,141,Shippensburg,13.063139163482589,4,9,3,15,True
76,142,Northwestern Okla.,12.936245102018981,10,6,3,33,True
139,143,UAH,12.381905706939271,6,9,2,20,True
191,144,St. Edward's,12.297154929732205,7,10,3,24,True
203,145,Palm Beach Atl.,12.281792032754572,3,8,5,14,True
188,146,Trevecca Nazarene,12.245408230833577,4,7,5,17,True
206,147,Chestnut Hill,12.232638742426932,9,8,1,28,True
55,148,Chowan,11.976346381313286,7,9,1,22,True
258,149,Walsh,11.665746768397252,6,8,3,21,True
237,150,Minn. Duluth,11.625643242786685,6,8,4,22,True
151,151,Clayton St.,11.35890086044191,4,11,2,14,True
235,152,Northern St.,11.212495233652774,6,9,4,22,True
75,153,Adams St.,11.071031688800103,9,8,3,30,True
164,154,Converse,11.040661067406786,7,10,3,24,True
96,155,Cal St. Dom. Hills,10.793877435629582,5,11,2,17,True
274,156,Wayne St. (NE),10.749812707079965,6,8,4,22,True
294,157,Central Wash.,10.541634701793525,4,7,6,18,True
65,158,Truman St.,10.457240670587202,5,6,5,20,True
156,159,Ga. Southwestern,10.179871491873538,4,8,3,15,True
59,160,Lock Haven,9.907484503129163,4,10,2,14,True
154,161,Point Park,9.718461555456036,8,7,4,28,True
116,162,Ferrum,9.636040246769282,8,9,2,26,True
34,163,Southern Nazarene,9.355486804664757,6,10,3,21,True
153,164,Saint Leo,9.285249632481774,3,9,3,12,True
70,165,Rogers St.,9.258996873871968,2,8,7,13,True
50,166,Purdue Northwest,9.252736348855594,6,11,2,20,True
