,Rank,Team,Index,Wins,Losses,Points
37,133,Minot State Beavers,8.009947969161813,3,8,9
150,134,Southwest Baptist Bearcats,7.978505239039382,3,7,9
41,135,South Dakota Mines Hardrockers,7.187568601133228,3,8,9
158,136,American International Yellow Jackets,7.153554037541472,2,7,6
38,137,Black Hills State Yellow Jackets,6.705742450887171,3,8,9
93,138,Midwestern State Mustangs,6.5812605283384675,3,8,9
167,139,Alvernia Golden Wolves,6.445875528297881,0,3,0
32,140,Eastern New Mexico Greyhounds,6.416886562068169,3,8,9
12,141,Barton Bulldogs,6.395506682460876,3,8,9
94,142,Bluefield State University Big Blue,6.35213447204761,3,7,9
165,143,Virginia Lynchburg Dragons,6.220595176982152,0,3,0
139,144,Roosevelt Lakers,6.217096274655886,2,7,6
54,145,Shaw Bears,5.88528976319996,2,8,6
97,146,Lincoln (CA) Oaklanders,5.592885606337995,0,3,0
141,147,Lake Erie Storm,5.303729513139443,2,9,6
112,148,Arkansas-Monticello Boll Weevils,5.2339607790263285,2,9,6
69,149,William Jewell Cardinals,5.20791471555362,3,8,9
113,150,Northwestern Oklahoma State Rangers,5.1271336044863975,2,9,6
116,151,Southern Nazarene Crimson Storm,5.11976222119474,2,9,6
118,152,Oklahoma Baptist Bison,5.106878307638179,2,9,6
48,153,Gannon Golden Knights,4.926410383876791,1,10,3
29,154,Concordia University St Paul Golden Bears,4.882016893986865,2,9,6
161,155,FDU-Florham Devils,4.471270715426234,1,8,3
84,156,UVA Wise Cavaliers,3.977811681745215,1,9,3
95,157,Tusculum Pioneers,3.9207280162454357,1,9,3
46,158,Shorter Hawks,3.717870161961622,2,9,6
166,159,Thomas More College Saints,3.40773595092976,1,8,3
96,160,Lincoln (MO) Blue Tigers,3.311876009195789,2,9,6
145,161,Southwest Minnesota State Mustangs,2.926535626797036,1,10,3
138,162,Erskine Flying Fleet,2.856622160140454,1,9,3
98,163,Western New Mexico Mustangs,2.8365810031003402,2,9,6
140,164,Jamestown College Jimmies,2.6713307986562036,1,9,3
68,165,Fort Lewis Skyhawks,1.8526208334760692,1,9,3
104,166,Wayne State (MI) Warriors,1.7964687933515069,0,10,0
76,167,Pace Setters,1.620237005121973,0,10,0
120,168,Millersville Marauders,1.6176621436526437,0,11,0
53,169,Lincoln (PA) Lions,1.284919869064213,0,9,0
171,170,Sul Ross State Lobos,1.264909435841102,0,9,0
61,171,West Virginia Wesleyan Bobcats,1.2542719757443073,0,11,0
142,172,Lane Dragons,1.2177201537528342,0,9,0
137,173,Kentucky Wesleyan Panthers,1.0574826802196347,0,11,0
99,174,Adams State Grizzlies,0.7522462011102403,0,11,0
