,Rank,Team,Index,Wins,Losses,Points
112,1,Wisconsin-River Falls,100.0,13,1,39
227,2,North Central College,97.70976170311542,14,0,42
101,3,Johns Hopkins University,82.60050471364852,12,2,36
234,4,Bethel (MN),77.35496451802574,12,1,36
108,5,Mount Union,75.25542201909626,11,1,33
115,6,John Carroll,72.0440433669648,12,2,36
174,7,Berry College,69.88296011140886,11,2,33
102,8,Christopher Newport,67.580662630033,10,1,30
204,9,Wartburg College,62.67455160388417,10,1,30
19,10,Trinity (TX),60.65010203135128,10,2,30
139,11,Wisconsin-Platteville,60.11008282508088,9,3,27
109,12,Wheaton,57.86201545231333,11,3,33
58,13,Susquehanna,57.756723182834094,11,3,33
229,14,Saint John's (MN),55.64946689906387,10,2,30
117,15,Salisbury University,55.575416869304924,10,2,30
3,16,Franklin & Marshall,54.26967915371809,9,2,27
214,17,Wisconsin-Lacrosse,54.0123993789838,7,3,21
235,18,LaGrange College,53.59017139461891,9,2,27
193,19,DePauw,52.8559993945355,10,2,30
52,20,Eastern University,52.17470712440832,10,2,30
142,21,Wisconsin-Whitewater,51.775465691481045,7,3,21
211,22,Hardin-Simmons,50.44180788993163,7,2,21
42,23,Muhlenberg,49.47049932940964,9,3,27
135,24,Hope,48.964605864236596,9,2,27
24,25,Randolph-Macon,47.88243622989391,9,2,27
89,26,Springfield,47.616825405989786,9,3,27
74,27,Endicott College,47.50737810301604,9,2,27
210,28,Chapman University,47.275962379548,9,3,27
113,29,Alma College,46.983163553951,8,3,24
153,30,Wabash College,46.44134777783173,9,2,27
185,31,Hanover,45.029416188350645,9,2,27
30,32,Merchant Marine,44.32534764651647,8,2,24
100,33,Ithaca,44.300835368379715,8,2,24
15,34,Coe College,42.78789766443674,9,3,27
129,35,Central College,42.73298564528933,8,2,24
219,36,Wesleyan University (CT),41.1702475743236,7,2,21
236,37,Mary Hardin-Baylor,41.00280746068876,5,2,15
157,38,Baldwin Wallace,40.59188280152876,8,2,24
218,39,Trinity (CT),40.374863777373385,7,2,21
162,40,Whitworth,39.67861307497789,8,2,24
54,41,Cortland,39.396678553477756,8,3,24
23,42,Concordia-Wisconsin,39.03590229937757,9,2,27
205,43,Monmouth (IL),37.44275678836989,9,2,27
118,44,Rowan,37.22868999496106,8,2,24
123,45,Ohio Northern,37.03596306676782,8,3,24
160,46,Linfield,36.83164577478513,7,2,21
55,47,Grove City College,36.303463041320924,8,3,24
57,48,Utica,36.143885276786264,8,3,24
206,49,Washington University-St. Louis,35.85048627868945,8,3,24
59,50,Union (NY),35.501710302623195,8,3,24
223,51,Adrian,35.365639651247136,7,2,21
72,52,University of New England,35.30980048233261,8,2,24
73,53,Coast Guard,34.52112941773068,7,3,21
183,54,Augustana (IL),34.092137362238866,7,3,21
67,55,Calvin University,33.42043387132972,7,3,21
56,56,Washington & Jefferson,32.86019341731207,8,3,24
80,57,Delaware Valley,32.53988399754205,8,3,24
171,58,Rensselaer,31.879753588707043,8,3,24
239,59,Concordia-Moorhead,31.33867733785112,6,3,18
81,60,Hampden-Sydney,31.252099918627934,7,3,21
