,Rank,Team,Index,Wins,Losses,Points
75,1,Notre Dame,100.0,10,1,30
56,2,Richmond,90.48650339843039,12,1,36
72,3,Princeton,86.90866773573734,11,2,33
50,4,North Carolina,81.71978881387939,11,3,33
18,5,Syracuse,75.74637825269036,11,4,33
74,6,Cornell,69.70133539432581,10,3,30
4,7,Army West Point,61.39649216836856,11,3,33
67,8,Harvard,57.56410930761934,9,4,27
28,9,Johns Hopkins,56.69605088760052,8,4,24
26,10,Duke,51.82110863553435,9,4,27
68,11,Yale,51.818777230330554,9,4,27
70,12,Georgetown,50.414828639159104,8,4,24
63,13,Towson,46.762081370445024,10,3,30
14,14,Ohio St.,46.64007488836748,10,4,30
20,15,Penn St.,45.1442479369427,7,5,21
53,16,Maryland,44.722246759677056,7,5,21
61,17,Virginia,43.577548390595844,8,6,24
54,18,Loyola Maryland,38.92466949911672,9,5,27
69,19,Penn,38.219990604188816,7,6,21
19,20,Boston U.,36.70110209380173,8,5,24
29,21,Robert Morris,35.6879068285138,12,3,36
1,22,Utah,30.153610408694966,9,4,27
55,23,Saint Joseph's,28.686594407874143,6,5,18
73,24,UAlbany,27.99156814747891,9,5,27
5,25,Massachusetts,27.307387148836824,10,5,30
7,26,Rutgers,26.087193225969965,8,7,24
40,27,Sacred Heart,24.12939142958212,11,3,33
33,28,Drexel,24.072369944441437,9,5,27
6,29,Jacksonville,22.369194563017345,8,5,24
51,30,High Point,21.998460475231038,6,7,18
37,31,Siena,21.925637676031258,11,4,33
46,32,Navy,21.074189657877916,7,7,21
42,33,Lehigh,21.020181288201336,7,7,21
57,34,Marist,20.412844970815932,9,4,27
2,35,Michigan,20.3383705146705,6,8,18
31,36,LIU,19.7589014412931,10,3,30
12,37,Denver,19.70513406494588,6,7,18
49,38,Villanova,19.093592685133412,6,7,18
16,39,Bucknell,18.664891765523326,8,6,24
71,40,Brown,17.57004158452616,6,7,18
21,41,Colgate,17.062251468987263,5,8,15
41,42,Stony Brook,16.541812532632136,7,5,21
22,43,Air Force,16.119909754298902,6,7,18
59,44,Marquette,13.515042235986886,6,7,18
9,45,Providence,13.134092225279948,7,8,21
76,46,Dartmouth,13.067552829621121,4,9,12
10,47,Mercer,11.487424092832041,6,7,18
66,48,Vermont,11.287068756923123,6,6,18
8,49,Holy Cross,11.106685770445164,6,8,18
65,50,UMBC,10.772875875837645,6,6,18
0,51,Delaware,9.960721696860766,5,8,15
36,52,Bryant,9.845709130025382,7,5,21
52,53,VMI,7.776750705815152,7,6,21
58,54,Merrimack,7.545377407728608,7,8,21
34,55,Monmouth,7.341098218278706,6,6,18
23,56,Lafayette,7.114010562163603,5,9,15
13,57,Cleveland St.,6.017107186560871,6,7,18
27,58,Bellarmine,5.26759621376747,5,11,15
43,59,Fairfield,4.718650025933281,4,10,12
47,60,Hobart,4.491464096648963,3,10,9
25,61,Hofstra,3.800389167855819,4,10,12
30,62,NJIT,3.3579392316580483,5,9,15
45,63,Quinnipiac,3.108657269996041,5,10,15
35,64,St. Bonaventure,2.8219601876230085,4,10,12
64,65,Wagner,2.371006899899898,5,8,15
17,66,Manhattan,2.232311396810911,4,10,12
39,67,Queens (NC),2.144733173546732,4,9,12
60,68,St. John's (NY),2.038722330820931,2,12,6
32,69,Mount St. Mary's,1.9080216853993428,3,10,9
15,70,Detroit Mercy,1.7817663586678805,3,10,9
38,71,Le Moyne,1.621407914916863,4,11,12
24,72,Iona,1.2410136126621916,2,15,6
62,73,Binghamton,1.2248534931202275,2,11,6
48,74,Canisius,1.1551171240290736,3,11,9
44,75,UMass Lowell,1.0543477257323597,2,10,6
3,76,Mercyhurst,0.4030916634016788,2,13,6
11,77,Hampton,0.21092236712094709,0,12,0
