,Rank,Team,Index,Wins,Losses,Ties,Points
83,120,Roger Williams,26.725222043605363,4,5,0,12
170,121,Marywood,26.61500439653346,4,3,0,12
227,122,Colby,26.35762248446616,1,2,0,3
117,123,MSOE,26.341833224709237,2,3,0,6
51,124,Chatham,26.111489028815324,4,4,0,12
242,125,Hilbert,26.09487565886208,2,1,0,6
216,126,New England Col.,25.860745240474465,3,2,0,9
173,127,Albertus Magnus,25.849649915230746,3,2,0,9
69,128,Husson,25.761112467353662,5,3,0,15
100,129,Albion,24.74264436412873,3,4,0,9
128,130,William Peace,24.632905177648695,3,2,0,9
172,131,UMSV,24.35399875615711,2,2,0,6
60,132,John Carroll,24.287101562337387,2,4,0,6
93,133,Lebanon Valley,24.14178260931262,3,4,0,9
42,134,Shenandoah,23.306211954074175,3,4,0,9
205,135,Delaware Valley,23.15513909056704,3,2,0,9
182,136,Otterbein,23.12539084002496,2,3,0,6
122,137,Calvin,22.982222268044588,3,3,0,9
133,138,Centenary (LA),22.614537579284995,3,3,0,9
140,139,WestConn,22.26985330622542,3,4,0,9
191,140,Lasell,21.958230916165395,2,3,0,6
19,141,Methodist,21.84118791480443,4,4,0,12
97,142,Capital,21.71648915254793,2,3,0,6
221,143,Marian (WI),21.711701108655255,1,2,0,3
71,144,Springfield,21.369868698835276,2,4,0,6
78,145,Immaculata,21.09820413010028,4,5,0,12
56,146,Elizabethtown,20.779191663649403,2,4,0,6
153,147,Union (NY),20.654801863089894,2,4,0,6
190,148,Lawrence,20.599573067184554,2,3,0,6
108,149,McDaniel,20.475316415009644,3,4,0,9
200,150,Hartwick,19.40360853845767,2,3,0,6
0,151,SCAD Savannah,19.393684067915164,2,2,0,6
168,152,Plattsburgh St.,19.364874865886925,3,3,0,9
154,153,Allegheny,19.362194886393503,2,3,0,6
245,154,Mitchell,19.265514289869728,0,1,0,0
125,155,SUNY Maritime,19.209880218612287,2,4,0,6
141,156,St. Joseph's (ME),18.750740611627613,2,3,0,6
180,157,DePauw,18.71229057942292,2,3,0,6
214,158,Alfred,18.588509352679,2,3,0,6
244,159,SUNY Morrisville,18.31000218688742,0,1,0,0
14,160,Tenn. Wesleyan,17.958742591761663,0,1,0,0
144,161,JWU (Providence),17.898291801022346,3,4,0,9
