,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
77,1,WashU,100.0,21,0,3,66,True
286,2,Emory,87.65819579635142,20,2,1,61,True
466,3,UChicago,72.30610955367295,14,2,4,46,True
403,4,Tufts,69.15231559646445,18,2,3,57,True
56,5,Wash. & Lee,67.12529947970498,18,1,3,57,True
306,6,Messiah,63.68748108453294,20,3,0,60,True
362,7,Carleton,56.99603757096952,17,3,2,53,True
292,8,CWRU,56.49230978226724,12,2,4,40,True
178,9,MIT,54.49094724180943,21,3,1,64,True
342,10,Illinois Tech,54.15812267543544,19,2,1,58,True
89,11,Lake Forest,53.75975136048091,20,1,0,60,True
305,12,Johns Hopkins,51.49684034623124,16,5,0,48,True
73,13,Trinity (TX),49.588380513487415,14,2,3,45,True
384,14,Cal Lutheran,49.45873575912763,16,3,1,49,True
152,15,Williams,48.60084256472403,13,2,5,44,True
92,16,Wis.-La Crosse,47.13047031020658,19,3,1,58,True
365,17,Calvin,46.46387232057291,14,5,0,42,True
343,18,North Central (IL),45.91814571588176,15,5,0,45,True
375,19,Chris. Newport,45.78072795791248,12,2,3,39,True
132,20,Middlebury,43.946472706331456,13,4,3,42,True
397,21,Vassar,43.18252746854021,14,4,0,42,True
99,22,St. Catherine,42.03821822303317,16,4,0,48,True
386,23,Pomona-Pitzer,41.92405913222598,15,2,4,49,True
135,24,Brevard,41.099440111404284,18,1,1,55,True
288,25,St. Olaf,40.2326098857607,14,2,2,44,True
312,26,Swarthmore,39.32995826103339,13,3,5,44,True
395,27,Colby,37.98658642472232,11,5,3,36,True
174,28,Amherst,37.75923391201313,11,5,2,35,True
203,29,Rowan,37.57708905106594,13,2,5,44,True
21,30,Loras,36.89076301917636,15,2,2,47,True
396,31,Carnegie Mellon,36.81314369516329,9,4,5,32,True
411,32,Penn St.-Behrend,36.65320709429845,15,3,1,46,True
65,33,Hope,36.38102772648458,11,4,3,36,True
84,34,Va. Wesleyan,36.00067777028877,14,4,3,45,True
263,35,Rhodes,35.477726894951864,12,5,1,37,True
336,36,Misericordia,35.141831297178705,13,4,2,41,True
398,37,Scranton,34.68392017400224,13,3,3,42,True
338,38,Dickinson,34.27675495998813,13,5,2,41,True
455,39,Montclair St.,33.612530450582746,12,1,5,41,True
