,Rank,Team,Index,Wins,Losses,Points
403,182,UVA Wise,9.759696173827454,0,2,0
209,183,Penn St.,9.714784406656838,7,16,21
141,184,Charlotte,9.658400883302756,11,12,33
74,185,Alabama A&M,9.643035078080807,12,9,36
419,186,Davis & Elkins,9.576395476804985,0,2,0
62,187,Cal St. Fullerton,9.48585124825063,14,9,42
227,188,Temple,9.459895137100402,9,12,27
228,189,George Washington,9.41429726771605,12,12,36
13,190,Towson,9.360033622388324,13,10,39
334,191,UCF,9.279643416266262,9,13,27
244,192,Chico St.,9.2713321272371,0,2,0
133,193,Wake Forest,9.244151447362405,12,12,36
43,194,West Chester,9.186513180058798,0,2,0
311,195,FGCU,9.13164231072899,9,12,27
73,196,UMES,9.11324021894723,14,11,42
158,197,Rutgers,9.034568904420263,8,15,24
96,198,Northwestern,8.962115243471585,8,15,24
257,199,Little Rock,8.876441406287935,11,12,33
48,200,Houston,8.843713610519956,7,16,21
247,201,ULM,8.70955573526424,10,12,30
314,202,Grand Canyon,8.684641559240575,9,14,27
26,203,Providence,8.673055123079516,11,14,33
200,204,NJIT,8.638326400663187,13,10,39
35,205,Stony Brook,8.627370695755832,12,10,36
188,206,Tarleton St.,8.589286086439465,10,11,30
202,207,St. Bonaventure,8.55668194262896,13,11,39
236,208,Bowling Green,8.522844979253382,10,11,30
353,209,Alcorn,8.492311876454316,11,9,33
276,210,Wofford,8.484331201040797,11,11,33
427,211,Southern Wesleyan,8.400420027120296,0,2,0
132,212,Northern Ky.,8.393595297310846,11,14,33
165,213,William & Mary,8.319248879093475,11,10,33
49,214,UT Arlington,8.260044741139412,10,13,30
226,215,ETSU,8.235292445615691,11,10,33
14,216,Xavier,8.222630825024185,11,13,33
155,217,Northwestern St.,8.19576649736772,10,10,30
388,218,Southern Miss.,8.191874836527584,9,12,27
16,219,Cincinnati,8.184867884001788,7,16,21
287,220,Cheyney,8.097094712021844,0,2,0
394,221,Benedictine Mesa,7.9720309804613025,0,2,0
121,222,Saint Louis,7.925196066400936,10,14,30
233,223,Tennessee Tech,7.750692445493452,11,10,33
410,224,Hendrix,7.723653902363299,0,2,0
23,225,Frostburg St.,7.690333757775533,0,2,0
416,226,Brewton-Parker,7.679997316862403,0,2,0
372,227,La. Christian,7.511911679879607,0,2,0
242,228,Delaware,7.4951226845406165,10,12,30
413,229,Defiance,7.472529071364966,0,2,0
420,230,Coastal Ga.,7.4214695270286715,0,2,0
160,231,Mercer,7.405327699559153,13,9,39
127,232,Florida St.,7.266945812047651,7,16,21
355,233,Jacksonville St.,7.25496089595813,10,11,30
302,234,Eastern Wash.,7.251318012725506,10,12,30
85,235,Southern U.,7.2512958100812215,9,10,27
109,236,North Ala.,7.237176206917313,10,10,30
400,237,Chadron St.,7.229720309574892,0,2,0
397,238,St. Mary's (TX),7.217458834810827,0,2,0
424,239,King (TN),7.203468166753043,0,2,0
421,240,Franklin Pierce,7.129031808647241,0,2,0
124,241,UMBC,6.99758013636258,9,11,27
215,242,Merrimack,6.976916776400241,12,10,36
258,243,Memphis,6.958951415425858,8,13,24
18,244,UAlbany,6.953301802830625,11,12,33
101,245,Coastal Carolina,6.913117661953567,10,13,30
195,246,Air Force,6.8270897849472885,10,12,30
408,247,Rust,6.810561865826963,0,2,0
212,248,Butler,6.807648933861803,8,15,24
95,249,Utah Valley,6.774491786904099,9,12,27
386,250,Nelson,6.750858428642289,0,3,0
75,251,Talladega,6.634472077600464,0,2,0
72,252,VCU,6.619908000735798,8,16,24
356,253,St. Thomas (TX),6.526377011218654,0,2,0
313,254,Fla. Atlantic,6.407514229732282,9,13,27
274,255,Fresno St.,6.361561919627288,11,13,33
409,256,AUM,6.316859544080434,0,2,0
193,257,Georgia St.,6.2563168032487715,7,15,21
411,258,Columbia (SC),6.2528529815566465,0,2,0
312,259,Kennesaw St.,6.216837974457368,8,11,24
31,260,Judson (IL),6.166503119066321,0,2,0
285,261,Alabama St.,6.129689063746559,10,10,30
89,262,UNC Greensboro,6.120856807947646,13,10,39
217,263,Dartmouth,6.048206786874074,9,11,27
224,264,App State,6.005741442911409,9,13,27
393,265,Ind.-East,5.986202646624843,0,2,0
59,266,Willamette,5.95749556006013,0,2,0
291,267,UAB,5.937828818784443,9,13,27
113,268,Sacramento St.,5.861024101039292,10,13,30
91,269,East Texas A&M,5.8475156729197515,9,10,27
250,270,Arlington Baptist,5.831277281136014,0,2,0
150,271,Elon,5.817665676778729,9,12,27
238,272,UIW,5.769142574340004,10,11,30
371,273,N.M. Highlands,5.731313982380223,0,2,0
423,274,Georgian Court,5.7144990189348155,0,3,0
0,275,SMU,5.69450920079744,8,16,24
293,276,Pacific,5.678673275599323,8,14,24
381,277,Wilberforce,5.5592309441270045,0,2,0
339,278,Texas St.,5.527941530348862,9,12,27
382,279,Shaw,5.454526725793571,0,2,0
407,280,New Jersey City,5.388724307161037,0,2,0
365,281,Western N.M.,5.36135268274869,0,2,0
231,282,UIC,5.222405219971335,11,11,33
406,283,Cal St. Monterey Bay,5.213876648407416,0,2,0
182,284,N.C. A&T,5.117477772715072,7,12,21
283,285,Newberry,5.112700018259245,0,2,0
315,286,UTEP,5.10807535217452,8,12,24
87,287,Kentucky St.,5.060885623290234,0,2,0
292,288,South Alabama,5.014738180013973,8,14,24
425,289,Brevard,4.943683148707046,0,2,0
157,290,Mars Hill,4.916026815699236,0,2,0
166,291,Loyola Maryland,4.830134110522706,10,12,30
415,292,Simpson (CA),4.826708097317432,0,3,0
378,293,Norfolk St.,4.791682169677699,9,11,27
289,294,St. Thomas (MN),4.6551364182111845,9,12,27
